Fuel,SteamFlow,SteamTemp,MegaWatts,CoolTemp,Pressure,,Z-Score,Fuel,Steam Flow,Steam Temp,MegaWatts,Cool Temp,Pressure
234953,181678,843,20.84,54.5,29,,,-0.364638551,0.608602611,-1.150828843,0.361044122,3.010384247,-2.800571534
247080,189354,844,20.86,54.4,28.9,,,1.308585155,2.363395104,-0.811637184,0.398485735,2.53145948,-4.811238276
238323,184419,845,21.1,54.5,28.9,,,0.100337444,1.235216241,-0.472445525,0.847785086,3.010384247,-4.811238276
248801,189169,843,22.18,54.5,28.9,,,1.546040255,2.321102684,-1.150828843,2.86963217,3.010384247,-4.811238276
246525,185511,842,21.21,54.6,28.9,,,1.23200899,1.484855819,-1.490020502,1.053713956,3.489309014,-4.811238276
233215,180409,845,20.75,54.5,29,,,-0.604439227,0.318499475,-0.472445525,0.192556865,3.010384247,-2.800571534
233955,181323,842,20.82,54.6,29,,,-0.502337673,0.527446887,-1.490020502,0.323602509,3.489309014,-2.800571534
238693,181346,844,20.92,54.8,29,,,0.151388221,0.532704864,-0.811637184,0.510810573,4.447158547,-2.800571534
248048,185307,844,21.15,54.6,29,,,1.442145025,1.438219854,-0.811637184,0.941389118,3.489309014,-2.800571534
233074,181411,844,20.93,54.5,29,,,-0.623893712,0.547564363,-0.811637184,0.529531379,3.010384247,-2.800571534
242833,186216,844,21.59,54.4,29,,,0.722605022,1.646024228,-0.811637184,1.765104596,2.53145948,-2.800571534
243950,182147,844,21.37,54.2,29,,,0.876723178,0.715819609,-0.811637184,1.353246857,1.573609947,-2.800571534
238739,183349,844,21.01,54.3,29,,,0.157735074,0.990606032,-0.811637184,0.67929783,2.052534714,-2.800571534
251963,188012,850,21.68,54.4,29,,,1.982317435,2.056603608,1.22351277,1.933591853,2.53145948,-2.800571534
240058,183372,846,21.15,54.2,29,,,0.339724195,0.995864008,-0.133253866,0.941389118,1.573609947,-2.800571534
235376,182436,844,20.99,54.3,29,,,-0.306275095,0.781887227,-0.811637184,0.641856217,2.052534714,-2.800571534
237595.7857,179015.7857,846.3928571,20.64714286,53.87142857,29.13928571,Average,,,,,,,
7247.685982,4374.306382,2.948185703,0.534165026,0.208801062,0.049734746,St. Dev.,,,,,,,
