1 PC,2 PC,3PC
0.066545675,0,0
0.185117967,0.070974851,0.022132133
0.326678766,0.078752917,0.013668183
0.436781609,0.079465906,0.00401631
0.421052632,0.103610319,0.021387324
0.346037508,0.001782473,0
0.479733817,0.17899274,0.033775662
0.483968542,0.218855328,0.096118038
0.397459165,0.114045891,0.000603389
0.466424682,0.112522686,0.041805925
0.457955233,0.194159969,0.076312254
0.09860859,0.014519056,0.003040517
0.128856624,0.022135079,0.010182195
0.000604961,3.24086E-05,4.71398E-06
0.067150635,0.001879699,2.35699E-06
0.424682396,0.063812549,0.001694676
0.282516636,0.038080114,0.008249464
0.212341198,0.040672803,0.010597025
0.09800363,0.031144672,0.002620972
0.382335148,0.100304641,0.038885615
0.001209921,6.48172E-05,2.12129E-05
0.129461585,3.24086E-05,3.29979E-05
0.483968542,0.068414571,0.024656469
0.493647913,0.024760176,0.003417635
0.49122807,0.000810215,0.000433686
0.480338778,0.240342235,0.011862729
0.451300665,0.023139746,0.004645627
0.34785239,0.139551465,0.00875386
0.27707199,0.071136894,0.002463054
0.38415003,0.115763547,0.013484338
0.306715064,0.097452683,0.000252198
0.284936479,0.092137672,0.012725387
0.365396249,0.031501167,0.010373111
0.212946158,0.09473036,0.029009829
0.329098609,0.02770936,0.000188559
0.034482759,0.000259269,0.00014849
0.284936479,0.041418201,0.011334763
0.36600121,0.032667877,0.006495863
0.307924985,0.119555354,0.020998421
0.490018149,0.234184599,0.000615174
0.467029643,0.114953332,0.001970443
0.420447671,0.185539279,0.042213685
0.168179068,0.002851957,0.000662314
0.186932849,0.000324086,0.000268697
0.449485783,0.000712989,0.000311123
0.473684211,0.183854032,0.01508002
0.441016334,0.100823179,0.043847079
0.237749546,0.09404978,0.029457657
0.038717483,0.004051076,0.00033705
0.16091954,0.019639616,0.000431329
0.460375076,0.036589318,0.001715888
0.490623109,0.18644672,0.079213708
0.477313975,0.039992222,0.003158366
0.430127042,0.180775214,0.001369411
0.240169389,0.023787918,0.002993377
0.413793103,0.001231527,0.000452542
0.491833031,0.216521908,0.014125439
0.490018149,0.038793103,0.019617225
