Fuel,Steam Flow,Steam Temp,MegaWatts,Cool Temp,Pressure
-0.36465,0.6086,-1.14915,0.36142,3.00957,-2.79678
1.3085,2.36351,-0.81017,0.39888,2.5311,-4.80885
0.1003,1.23525,-0.47119,0.84831,3.00957,-4.80885
1.54594,2.32122,-1.14915,2.87079,3.00957,-4.80885
1.23193,1.48491,-1.48814,1.05431,3.48804,-4.80885
-0.60444,0.31847,-0.47119,0.19288,3.00957,-2.79678
-0.50235,0.52743,-1.48814,0.32397,3.48804,-2.79678
0.15135,0.53269,-0.81017,0.51124,4.44498,-2.79678
1.44205,1.43827,-0.81017,0.94195,3.48804,-2.79678
-0.6239,0.54755,-0.81017,0.52996,3.00957,-2.79678
0.72254,1.64609,-0.81017,1.76592,2.5311,-2.79678
0.87666,0.71582,-0.81017,1.35393,1.57416,-2.79678
0.1577,0.99063,-0.81017,0.67978,2.05263,-2.79678
1.9822,2.0567,1.22373,1.93446,2.5311,-2.79678
0.33968,0.99588,-0.1322,0.94195,1.57416,-2.79678
-0.30629,0.78189,-0.81017,0.64232,2.05263,-2.79678
